"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","executed","notes"
"btl-clustered","J10_balanced_dep0.0","type1_clustered",1200,1200,0,0,NA,NA,NA,NA,NA,NA,NA,0.0500595238095238,0.00186853605212076,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","38dfd08da33bf3731db3c44d911e6443","0a10d32+dirty","2026-08-11","pooled over 28 pairs, flat truth (all true diffs = 0), t(df=nJudge-1) test"
"btl-clustered","J10_balanced_dep0.0","type1_naive",1200,1200,0,0,NA,NA,NA,NA,NA,NA,NA,0.0510714285714286,0.00200841371910293,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","38dfd08da33bf3731db3c44d911e6443","0a10d32+dirty","2026-08-11","pooled over 28 pairs, flat truth, unclustered SE, normal(z) test"
"btl-clustered","J10_balanced_dep0.0","familywise_clustered",1200,1200,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.539166666666667,0.0143894050207732,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","38dfd08da33bf3731db3c44d911e6443","0a10d32+dirty","2026-08-11","P(>=1 false rejection among 28 non-independent pairwise tests/replicate)"
"btl-clustered","J10_balanced_dep0.0","coverage_clustered",1200,1200,0,0,NA,NA,NA,NA,NA,0.945029761904762,0.00195246842622876,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","38dfd08da33bf3731db3c44d911e6443","0a10d32+dirty","2026-08-11","pooled over 28 pairs, spaced truth, clustered SE, t(df=nJudge-1) CI"
"btl-clustered","J10_balanced_dep0.0","coverage_naive",1200,1200,0,0,NA,NA,NA,NA,NA,0.949047619047619,0.00197490276761297,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","38dfd08da33bf3731db3c44d911e6443","0a10d32+dirty","2026-08-11","pooled over 28 pairs, spaced truth, unclustered SE, normal(z) CI"
"btl-clustered","J10_balanced_dep0.0","contrast_small_O4_O5",1200,1200,0,0,-0.408248290463863,-0.00843508058308991,0.178372878739109,0.169561440845867,1.05196604752404,0.945029761904762,0.00657954602150932,NA,NA,NA,NA,0.5675,0.0143016243249966,0,0,0,0,"tools/simval/studies/btl-clustered.R","38dfd08da33bf3731db3c44d911e6443","0a10d32+dirty","2026-08-11","adjacent-object contrast, |true diff| ~0.41 logits; coverage95 is the pooled 28-pair figure"
"btl-clustered","J10_balanced_dep0.0","contrast_large_O1_O8",1200,1200,0,0,-2.85773803324704,-0.0258064417031503,0.226091292936976,0.218335068116225,1.03552441157378,0.945029761904762,0.00657954602150932,NA,NA,NA,NA,1,0,0,0,0,0,"tools/simval/studies/btl-clustered.R","38dfd08da33bf3731db3c44d911e6443","0a10d32+dirty","2026-08-11","extreme-object contrast, |true diff| ~2.86 logits; coverage95 is the pooled 28-pair figure"
"btl-clustered","J10_balanced_dep0.0","clustered_inference_available",1200,1200,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","38dfd08da33bf3731db3c44d911e6443","0a10d32+dirty","2026-08-11","fraction of replicates where cluster_inference == TRUE (J=10 -> should be 1 (always available) per the <10-judge withholding guard)"
"btl-clustered","J09_balanced_dep0.0","type1_clustered",0,500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","38dfd08da33bf3731db3c44d911e6443","0a10d32+dirty","2026-08-11","pooled over 28 pairs, flat truth (all true diffs = 0), t(df=nJudge-1) test"
"btl-clustered","J09_balanced_dep0.0","type1_naive",500,500,0,0,NA,NA,NA,NA,NA,NA,NA,0.051,0.00297599216821906,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","38dfd08da33bf3731db3c44d911e6443","0a10d32+dirty","2026-08-11","pooled over 28 pairs, flat truth, unclustered SE, normal(z) test"
"btl-clustered","J09_balanced_dep0.0","familywise_clustered",0,500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","38dfd08da33bf3731db3c44d911e6443","0a10d32+dirty","2026-08-11","P(>=1 false rejection among 28 non-independent pairwise tests/replicate)"
"btl-clustered","J09_balanced_dep0.0","coverage_clustered",0,500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","38dfd08da33bf3731db3c44d911e6443","0a10d32+dirty","2026-08-11","pooled over 28 pairs, spaced truth, clustered SE, t(df=nJudge-1) CI"
